timestamp,PnL
1751328000,0.0
1751328300,0.0
1751328600,0.0
1751328900,0.0
1751329200,0.0
1751329500,0.0
1751329800,0.0
1751330100,0.0
1751330400,0.0
1751330700,0.0
1751331000,0.0
1751331300,0.0
1751331600,0.0
1751331900,0.0
1751332200,0.0
1751332500,0.0
1751332800,0.0
1751333100,0.0
1751333400,0.0
1751333700,0.0
1751334000,0.0
1751334300,0.0
1751334600,0.0
1751334900,0.0
1751335200,0.0
1751335500,0.0
1751335800,0.0
1751336100,0.0
1751336400,0.0
1751336700,0.0
1751337000,0.0
1751337300,0.0
1751337600,0.0
1751337900,0.0
1751338200,0.0
1751338500,0.0
1751338800,0.0
1751339100,0.0
1751339400,0.0
1751339700,0.0
1751340000,0.0
1751340300,0.0
1751340600,0.0
1751340900,0.0
1751341200,0.0
1751341500,0.0
1751341800,0.0
1751342100,0.0
1751342400,0.0
1751342700,0.0
1751343000,0.0
1751343300,0.0
1751343600,0.0
1751343900,0.0
1751344200,0.0
1751344500,0.0
1751344800,0.0
1751345100,0.0
1751345400,0.0
1751345700,0.0
1751346000,0.0
1751346300,0.0
1751346600,0.0
1751346900,0.0
1751347200,0.0
1751347500,0.0
1751347800,0.0
1751348100,0.0
1751348400,0.0
1751348700,0.0
1751349000,0.0
1751349300,0.0
1751349600,0.0
1751349900,0.0
1751350200,0.0
1751350500,0.0
1751350800,0.0
1751351100,0.0
1751351400,0.0
1751351700,0.0
1751352000,0.0
1751352300,0.0
1751352600,0.0
1751352900,0.0
1751353200,0.0
1751353500,0.0
1751353800,0.0
1751354100,0.0
1751354400,0.0
1751354700,0.0
1751355000,0.0
1751355300,0.0
1751355600,0.0
1751355900,0.0
1751356200,0.0
1751356500,0.0
1751356800,0.0
1751357100,0.0
1751357400,0.0
1751357700,0.0
1751358000,0.0
1751358300,0.0
1751358600,0.0
1751358900,0.0
1751359200,0.0
1751359500,0.0
1751359800,0.0
1751360100,0.0
1751360400,0.0
1751360700,0.0
1751361000,0.0
1751361300,0.0
1751361600,0.0
1751361900,0.0
1751362200,0.0
1751362500,0.0
1751362800,0.0
1751363100,0.0
1751363400,0.0
1751363700,0.0
1751364000,0.0
1751364300,0.0
1751364600,0.0
1751364900,0.0
1751365200,0.0
1751365500,0.0
1751365800,0.0
1751366100,0.0
1751366400,0.0
1751366700,0.0
1751367000,0.0
1751367300,0.0
1751367600,0.0
1751367900,0.0
1751368200,0.0
1751368500,0.0
1751368800,0.0
1751369100,0.0
1751369400,0.0
1751369700,0.0
1751370000,0.0
1751370300,0.0
1751370600,0.0
1751370900,0.0
1751371200,0.0
1751371500,0.0
1751371800,0.0
1751372100,0.0
1751372400,0.0
1751372700,0.0
1751373000,0.0
1751373300,0.0
1751373600,0.0
1751373900,0.0
1751374200,0.0
1751374500,0.0
1751374800,-4.255980000001728
1751375100,-4.255980000001728
1751375400,-4.255980000001728
1751375700,-4.255980000001728
1751376000,-4.255980000001728
1751376300,-4.255980000001728
1751376600,-4.255980000001728
1751376900,-4.255980000001728
1751377200,-4.255980000001728
1751377500,-4.255980000001728
1751377800,-4.255980000001728
1751378100,-4.255980000001728
1751378400,-4.255980000001728
1751378700,-4.255980000001728
1751379000,-4.255980000001728
1751379300,-4.255980000001728
1751379600,-4.255980000001728
1751379900,-4.255980000001728
1751380200,-4.255980000001728
1751380500,-4.255980000001728
1751380800,-4.255980000001728
1751381100,-4.255980000001728
1751381400,-4.255980000001728
1751381700,-4.255980000001728
1751382000,-4.255980000001728
1751382300,-4.255980000001728
1751382600,-4.255980000001728
1751382900,-4.255980000001728
1751383200,-4.255980000001728
1751383500,-4.255980000001728
1751383800,-4.255980000001728
1751384100,-4.255980000001728
1751384400,-4.255980000001728
1751384700,-4.255980000001728
1751385000,-4.255980000001728
1751385300,-4.255980000001728
1751385600,-4.255980000001728
1751385900,-4.255980000001728
1751386200,-4.255980000001728
1751386500,-4.255980000001728
1751386800,-4.255980000001728
1751387100,-4.255980000001728
1751387400,-4.255980000001728
1751387700,-4.255980000001728
1751388000,-4.255980000001728
1751388300,-4.255980000001728
1751388600,-4.255980000001728
1751388900,-4.255980000001728
1751389200,-4.255980000001728
1751389500,-4.255980000001728
1751389800,-4.255980000001728
1751390100,-4.255980000001728
1751390400,-4.255980000001728
1751390700,-4.255980000001728
1751391000,-4.255980000001728
1751391300,-4.255980000001728
1751391600,-4.255980000001728
1751391900,-4.255980000001728
1751392200,-4.255980000001728
1751392500,-4.255980000001728
1751392800,-4.255980000001728
1751393100,-4.255980000001728
1751393400,-4.255980000001728
1751393700,-4.255980000001728
1751394000,-4.255980000001728
1751394300,-4.255980000001728
1751394600,-4.255980000001728
1751394900,-4.255980000001728
1751395200,-4.255980000001728
1751395500,-4.255980000001728
1751395800,-4.255980000001728
1751396100,-4.255980000001728
1751396400,-4.255980000001728
1751396700,-4.255980000001728
1751397000,-4.255980000001728
1751397300,-4.255980000001728
1751397600,-4.255980000001728
1751397900,-4.255980000001728
1751398200,-4.255980000001728
1751398500,-4.255980000001728
1751398800,-4.255980000001728
1751399100,-4.255980000001728
1751399400,-4.255980000001728
1751399700,-4.255980000001728
1751400000,-4.255980000001728
1751400300,-4.255980000001728
1751400600,-4.255980000001728
1751400900,-4.255980000001728
1751401200,-4.255980000001728
1751401500,-4.255980000001728
1751401800,-4.255980000001728
1751402100,-4.255980000001728
1751402400,-4.255980000001728
1751402700,-4.255980000001728
1751403000,-4.255980000001728
1751403300,-4.255980000001728
1751403600,-4.255980000001728
1751403900,-4.255980000001728
1751404200,-4.255980000001728
1751404500,-4.255980000001728
1751404800,-4.255980000001728
1751405100,-4.255980000001728
1751405400,-4.255980000001728
1751405700,-4.255980000001728
1751406000,-4.255980000001728
1751406300,-4.255980000001728
1751406600,-4.255980000001728
1751406900,-4.255980000001728
1751407200,-4.255980000001728
1751407500,-4.255980000001728
1751407800,-4.255980000001728
1751408100,-4.255980000001728
1751408400,-4.255980000001728
1751408700,-4.255980000001728
1751409000,-4.255980000001728
1751409300,-4.255980000001728
1751409600,-4.255980000001728
1751409900,-4.255980000001728
1751410200,-4.255980000001728
1751410500,-4.255980000001728
1751410800,-4.255980000001728
1751411100,-4.255980000001728
1751411400,-4.255980000001728
1751411700,-4.255980000001728
1751412000,-4.255980000001728
1751412300,-4.255980000001728
1751412600,-4.255980000001728
1751412900,-4.255980000001728
1751413200,-4.255980000001728
1751413500,-4.255980000001728
1751413800,-4.255980000001728
1751414100,-4.255980000001728
1751414400,-4.255980000001728
1751414700,-4.255980000001728
1751415000,-4.255980000001728
1751415300,-4.255980000001728
1751415600,-4.255980000001728
1751415900,-4.255980000001728
1751416200,-4.255980000001728
1751416500,-4.255980000001728
1751416800,-4.255980000001728
1751417100,-4.255980000001728
1751417400,-4.255980000001728
1751417700,-4.255980000001728
1751418000,-4.255980000001728
1751418300,-4.255980000001728
1751418600,-4.255980000001728
1751418900,-4.255980000001728
1751419200,-4.255980000001728
1751419500,-4.255980000001728
1751419800,-4.255980000001728
1751420100,-4.255980000001728
1751420400,-4.255980000001728
1751420700,-4.255980000001728
1751421000,-4.255980000001728
1751421300,-4.255980000001728
1751421600,-4.255980000001728
1751421900,-4.255980000001728
1751422200,-4.255980000001728
1751422500,-4.255980000001728
1751422800,-4.255980000001728
1751423100,-4.255980000001728
1751423400,-4.255980000001728
1751423700,-4.255980000001728
1751424000,-4.255980000001728
1751424300,-4.255980000001728
1751424600,-4.255980000001728
1751424900,-4.255980000001728
1751425200,-4.255980000001728
1751425500,-4.255980000001728
1751425800,-4.255980000001728
1751426100,-4.255980000001728
1751426400,-4.255980000001728
1751426700,-4.255980000001728
1751427000,-4.255980000001728
1751427300,-4.255980000001728
1751427600,-4.255980000001728
1751427900,-4.255980000001728
1751428200,-4.255980000001728
1751428500,-4.255980000001728
1751428800,-4.255980000001728
1751429100,-4.255980000001728
1751429400,-4.255980000001728
1751429700,-4.255980000001728
1751430000,-4.255980000001728
1751430300,-4.255980000001728
1751430600,-4.255980000001728
1751430900,-4.255980000001728
1751431200,-4.255980000001728
1751431500,-4.255980000001728
1751431800,-4.255980000001728
1751432100,-4.255980000001728
1751432400,-4.255980000001728
1751432700,-4.255980000001728
1751433000,-4.255980000001728
1751433300,-4.255980000001728
1751433600,-4.255980000001728
1751433900,-4.255980000001728
1751434200,-4.255980000001728
1751434500,-4.255980000001728
1751434800,-4.255980000001728
1751435100,-4.255980000001728
1751435400,-4.255980000001728
1751435700,-4.255980000001728
1751436000,-4.255980000001728
1751436300,-4.255980000001728
1751436600,-4.255980000001728
1751436900,-4.255980000001728
1751437200,-4.255980000001728
1751437500,-4.255980000001728
1751437800,-4.255980000001728
1751438100,-4.255980000001728
1751438400,-4.255980000001728
1751438700,-4.255980000001728
1751439000,-4.255980000001728
1751500800,-4.255980000001728
1751501100,-4.255980000001728
1751501400,-4.255980000001728
1751501700,-4.255980000001728
1751502000,-4.255980000001728
1751502300,-4.255980000001728
1751502600,-4.255980000001728
1751502900,-4.255980000001728
1751503200,-4.255980000001728
1751503500,-4.255980000001728
1751503800,-4.255980000001728
1751504100,-4.255980000001728
1751504400,-4.255980000001728
1751504700,-4.255980000001728
1751505000,-4.255980000001728
1751505300,-4.255980000001728
1751505600,-4.255980000001728
1751505900,-4.255980000001728
1751506200,-4.255980000001728
1751506500,-4.255980000001728
1751506800,-4.255980000001728
1751507100,-4.255980000001728
1751507400,-4.255980000001728
1751507700,-4.255980000001728
1751508000,-4.255980000001728
1751508300,-4.255980000001728
1751508600,-4.255980000001728
1751508900,-4.255980000001728
1751509200,-4.255980000001728
1751509500,-4.255980000001728
1751509800,-4.255980000001728
1751510100,-4.255980000001728
1751510400,-4.255980000001728
1751510700,-4.255980000001728
1751511000,-4.255980000001728
1751511300,-4.255980000001728
1751511600,-4.255980000001728
1751511900,-4.255980000001728
1751512200,-4.255980000001728
1751512500,-4.255980000001728
1751512800,-4.255980000001728
1751513100,-4.255980000001728
1751513400,-4.255980000001728
1751513700,-4.255980000001728
1751514000,-4.255980000001728
1751514300,-4.255980000001728
1751514600,-4.255980000001728
1751514900,-4.255980000001728
1751515200,-4.255980000001728
1751515500,-4.255980000001728
1751515800,-4.255980000001728
1751516100,-4.255980000001728
1751516400,-4.255980000001728
1751516700,-4.255980000001728
1751517000,-4.255980000001728
1751517300,-4.255980000001728
1751517600,-4.255980000001728
1751517900,-4.255980000001728
1751518200,-4.255980000001728
1751518500,-4.255980000001728
1751518800,-4.255980000001728
1751519100,-4.255980000001728
1751519400,-4.255980000001728
1751519700,-4.255980000001728
1751520000,-4.255980000001728
1751520300,-4.255980000001728
1751520600,-4.255980000001728
1751520900,-4.255980000001728
1751521200,-4.255980000001728
1751521500,-4.255980000001728
1751521800,-4.255980000001728
1751522100,-4.255980000001728
1751522400,-4.255980000001728
1751522700,-4.255980000001728
1751523000,-4.255980000001728
1751523300,-4.255980000001728
1751523600,-4.255980000001728
1751523900,-4.255980000001728
1751524200,-4.255980000001728
1751524500,-4.255980000001728
1751524800,-4.255980000001728
1751525100,-4.255980000001728
1751525400,-4.255980000001728
1751525700,-4.255980000001728
1751526000,-4.255980000001728
1751526300,-4.255980000001728
1751526600,-4.255980000001728
1751526900,-4.255980000001728
1751527200,-4.255980000001728
1751527500,-4.255980000001728
1751527800,-4.255980000001728
1751528100,-4.255980000001728
1751528400,-4.255980000001728
1751528700,-4.255980000001728
1751529000,-4.255980000001728
1751529300,-4.255980000001728
1751529600,-4.255980000001728
1751529900,-4.255980000001728
1751530200,-4.255980000001728
1751530500,-4.255980000001728
1751530800,-4.255980000001728
1751531100,-4.255980000001728
1751531400,-4.255980000001728
1751531700,-4.255980000001728
1751532000,-4.255980000001728
1751532300,-4.255980000001728
1751532600,-4.255980000001728
1751532900,-4.255980000001728
1751533200,-4.255980000001728
1751533500,-4.255980000001728
1751533800,-4.255980000001728
1751534100,-4.255980000001728
1751534400,-4.255980000001728
1751534700,-4.255980000001728
1751535000,-4.255980000001728
1751535300,-4.255980000001728
1751535600,-4.255980000001728
1751535900,-4.255980000001728
1751536200,-4.255980000001728
1751536500,-4.255980000001728
1751536800,-4.255980000001728
1751537100,-4.255980000001728
1751537400,-4.255980000001728
1751537700,-4.255980000001728
1751538000,-4.255980000001728
1751538300,-4.255980000001728
1751538600,-4.255980000001728
1751538900,-4.255980000001728
1751539200,-4.255980000001728
1751539500,-4.255980000001728
1751539800,-4.255980000001728
1751540100,-4.255980000001728
1751540400,-4.255980000001728
1751540700,-4.255980000001728
1751541000,-4.255980000001728
1751541300,-4.255980000001728
1751541600,-4.255980000001728
1751541900,-4.255980000001728
1751542200,-4.255980000001728
1751542500,-4.255980000001728
1751542800,-4.255980000001728
1751543100,-4.255980000001728
1751543400,-4.255980000001728
1751543700,-4.255980000001728
1751544000,-4.255980000001728
1751544300,-4.255980000001728
1751544600,-4.255980000001728
1751544900,-4.255980000001728
1751545200,-4.255980000001728
1751545500,-4.255980000001728
1751545800,-4.255980000001728
1751546100,-4.255980000001728
1751546400,-4.255980000001728
1751546700,-4.255980000001728
1751547000,-4.255980000001728
1751547300,-4.255980000001728
1751547600,-8.623920000005455
1751547900,-8.623920000005455
1751548200,-8.623920000005455
1751548500,-8.623920000005455
1751548800,-8.623920000005455
1751549100,-8.623920000005455
1751549400,-8.623920000005455
1751549700,-8.623920000005455
1751550000,-8.623920000005455
1751550300,-8.623920000005455
1751550600,-8.623920000005455
1751550900,-8.623920000005455
1751551200,-8.623920000005455
1751551500,-8.623920000005455
1751551800,-8.623920000005455
1751552100,-8.623920000005455
1751552400,-8.623920000005455
1751552700,-8.623920000005455
1751553000,-8.623920000005455
1751553300,-8.623920000005455
1751553600,-8.623920000005455
1751553900,-8.623920000005455
1751554200,-8.623920000005455
1751554500,-8.623920000005455
1751554800,-8.623920000005455
1751555100,-8.623920000005455
1751555400,-8.623920000005455
1751555700,-8.623920000005455
1751556000,-8.623920000005455
1751556300,-8.623920000005455
1751556600,-8.623920000005455
1751556900,-8.623920000005455
1751557200,-8.623920000005455
1751557500,-8.623920000005455
1751557800,-8.623920000005455
1751558100,-8.623920000005455
1751558400,-8.623920000005455
1751558700,-8.623920000005455
1751559000,-8.623920000005455
1751559300,-8.623920000005455
1751559600,-8.623920000005455
1751559900,-8.623920000005455
1751560200,-8.623920000005455
1751560500,-8.623920000005455
1751560800,-8.623920000005455
1751561100,-8.623920000005455
1751561400,-8.623920000005455
1751561700,-8.623920000005455
1751562000,-8.623920000005455
1751562300,-8.623920000005455
1751562600,-8.623920000005455
1751562900,-8.623920000005455
1751563200,-8.623920000005455
1751563500,-8.623920000005455
1751563800,-8.623920000005455
1751564100,-8.623920000005455
1751564400,-8.623920000005455
1751564700,-8.623920000005455
1751565000,-8.623920000005455
1751565300,-8.623920000005455
1751565600,-8.623920000005455
1751565900,-8.623920000005455
1751566200,-8.623920000005455
1751566500,-8.623920000005455
1751566800,-8.623920000005455
1751567100,-8.623920000005455
1751567400,-8.623920000005455
1751567700,-8.623920000005455
1751568000,-8.623920000005455
1751568300,-8.623920000005455
1751568600,-8.623920000005455
1751568900,-8.623920000005455
1751569200,-8.623920000005455
1751569500,-8.623920000005455
1751569800,-8.623920000005455
1751570100,-8.623920000005455
1751570400,-8.623920000005455
1751570700,-8.623920000005455
1751571000,-8.623920000005455
1751571300,-8.623920000005455
1751571600,-8.623920000005455
1751571900,-8.623920000005455
1751572200,-8.623920000005455
1751572500,-8.623920000005455
1751572800,-8.623920000005455
1751573100,-8.623920000005455
1751573400,-8.623920000005455
1751573700,-8.623920000005455
1751574000,-8.623920000005455
1751574300,-8.623920000005455
1751574600,-8.623920000005455
1751574900,-8.623920000005455
1751575200,-8.623920000005455
1751575500,-8.623920000005455
1751575800,-8.623920000005455
1751576100,-8.623920000005455
1751576400,-8.623920000005455
1751576700,-8.623920000005455
1751577000,-8.623920000005455
1751577300,-8.623920000005455
1751577600,-8.623920000005455
1751577900,-8.623920000005455
1751578200,-8.623920000005455
1751578500,-8.623920000005455
1751578800,-8.623920000005455
1751579100,-8.623920000005455
1751579400,-8.623920000005455
1751579700,-8.623920000005455
1751580000,-8.623920000005455
1751580300,-8.623920000005455
1751580600,-8.623920000005455
1751580900,-8.623920000005455
1751581200,-8.623920000005455
1751581500,-8.623920000005455
1751581800,-8.623920000005455
1751582100,-8.623920000005455
1751582400,-8.623920000005455
1751582700,-8.623920000005455
1751583000,-8.623920000005455
1751583300,-8.623920000005455
1751583600,-8.623920000005455
1751583900,-8.623920000005455
1751584200,-8.623920000005455
1751584500,-8.623920000005455
1751584800,-8.623920000005455
1751585100,-8.623920000005455
1751585400,-8.623920000005455
1751585700,-8.623920000005455
1751586000,-8.623920000005455
1751586300,-8.623920000005455
1751586600,-8.623920000005455
1751586900,-8.623920000005455
1751587200,-8.623920000005455
1751587200,-8.623920000005455
1751587200,-8.623920000005455
1751587200,-8.623920000005455
1751587200,-8.623920000005455
1751587200,-8.623920000005455
1751587200,-8.623920000005455
1751587200,-8.623920000005455
1751587200,-8.623920000005455
1751587200,-8.623920000005455
1751587200,-8.623920000005455
1751587200,-8.623920000005455
1751587200,-8.623920000005455
1751587200,-8.623920000005455
1751587200,-8.623920000005455
1751587200,-8.623920000005455
1751587200,-8.623920000005455
1751587200,-8.623920000005455
1751587200,-8.623920000005455
1751587500,-8.623920000005455
1751587500,-8.623920000005455
1751587500,-8.623920000005455
1751587500,-8.623920000005455
1751587500,-8.623920000005455
1751587500,-8.623920000005455
1751587500,-8.623920000005455
1751587500,-8.623920000005455
1751587500,-8.623920000005455
1751587500,-8.623920000005455
1751587500,-8.623920000005455
1751587500,-8.623920000005455
1751587500,-8.623920000005455
1751587500,-8.623920000005455
1751587500,-8.623920000005455
1751587500,-8.623920000005455
1751587500,-8.623920000005455
1751587500,-8.623920000005455
1751587500,-8.623920000005455
1751587500,-8.623920000005455
1751587500,-8.623920000005455
1751587500,-8.623920000005455
1751587500,-8.623920000005455
1751587500,-8.623920000005455
1751587500,-8.623920000005455
1751587500,-8.623920000005455
1751587500,-8.623920000005455
1751587500,-8.623920000005455
1751587800,-8.623920000005455
1751587800,-8.623920000005455
1751587800,-8.623920000005455
1751587800,-8.623920000005455
1751587800,-8.623920000005455
1751587800,-8.623920000005455
1751587800,-8.623920000005455
1751587800,-8.623920000005455
1751587800,-8.623920000005455
1751587800,-8.623920000005455
1751587800,-8.623920000005455
1751587800,-8.623920000005455
1751587800,-8.623920000005455
1751587800,-8.623920000005455
1751587800,-8.623920000005455
1751587800,-8.623920000005455
1751587800,-8.623920000005455
1751587800,-8.623920000005455
1751587800,-8.623920000005455
1751587800,-8.623920000005455
1751587800,-8.623920000005455
1751587800,-8.623920000005455
1751587800,-8.623920000005455
1751587800,-8.623920000005455
1751587800,-8.623920000005455
1751587800,-8.623920000005455
1751587800,-8.623920000005455
1751587800,-8.623920000005455
1751587800,-8.623920000005455
1751587800,-8.623920000005455
1751587800,-8.623920000005455
1751587800,-8.623920000005455
1751587800,-8.623920000005455
1751587800,-8.623920000005455
1751587800,-8.623920000005455
1751588100,-8.623920000005455
1751588100,-8.623920000005455
1751588100,-8.623920000005455
1751588100,-8.623920000005455
1751588100,-8.623920000005455
1751588100,-8.623920000005455
1751588100,-8.623920000005455
1751588100,-8.623920000005455
1751588100,-8.623920000005455
1751588100,-8.623920000005455
1751588100,-8.623920000005455
1751588100,-8.623920000005455
1751588100,-8.623920000005455
1751588100,-8.623920000005455
1751588100,-8.623920000005455
1751588100,-8.623920000005455
1751588100,-8.623920000005455
1751588100,-8.623920000005455
1751588100,-8.623920000005455
1751588100,-8.623920000005455
1751588100,-8.623920000005455
1751588100,-8.623920000005455
1751588100,-8.623920000005455
1751588100,-8.623920000005455
1751588100,-8.623920000005455
1751588100,-8.623920000005455
1751588100,-8.623920000005455
1751588100,-8.623920000005455
1751588100,-8.623920000005455
1751588100,-8.623920000005455
1751588100,-8.623920000005455
1751588100,-8.623920000005455
1751588100,-8.623920000005455
1751588100,-8.623920000005455
1751588100,-8.623920000005455
1751588100,-8.623920000005455
1751588100,-8.623920000005455
1751588100,-8.623920000005455
1751588100,-8.623920000005455
1751588400,-8.623920000005455
1751588400,-8.623920000005455
1751588400,-8.623920000005455
1751588400,-8.623920000005455
1751588400,-8.623920000005455
1751588400,-8.623920000005455
1751588400,-8.623920000005455
1751588400,-8.623920000005455
1751588400,-8.623920000005455
1751588400,-8.623920000005455
1751588400,-8.623920000005455
1751588400,-8.623920000005455
1751588400,-8.623920000005455
1751588400,-8.623920000005455
1751588400,-8.623920000005455
1751588400,-8.623920000005455
1751588400,-8.623920000005455
1751588400,-8.623920000005455
1751588400,-8.623920000005455
1751588400,-8.623920000005455
1751588400,-8.623920000005455
1751588400,-8.623920000005455
1751588400,-8.623920000005455
1751588400,-8.623920000005455
1751588400,-8.623920000005455
1751588400,-8.623920000005455
1751588400,-8.623920000005455
1751588400,-8.623920000005455
1751588400,-8.623920000005455
1751588400,-8.623920000005455
1751588400,-8.623920000005455
1751588400,-8.623920000005455
1751588400,-8.623920000005455
1751588400,-8.623920000005455
1751588400,-8.623920000005455
1751588400,-8.623920000005455
1751588400,-8.623920000005455
1751588400,-8.623920000005455
1751588400,-8.623920000005455
1751588400,-8.623920000005455
1751588400,-8.623920000005455
1751588400,-8.623920000005455
1751588400,-8.623920000005455
1751588400,-8.623920000005455
1751588400,-8.623920000005455
1751588400,-8.623920000005455
1751588400,-8.623920000005455
1751588700,-8.623920000005455
1751588700,-8.623920000005455
1751588700,-8.623920000005455
1751588700,-8.623920000005455
1751588700,-8.623920000005455
1751588700,-8.623920000005455
1751588700,-8.623920000005455
1751588700,-8.623920000005455
1751588700,-8.623920000005455
1751588700,-8.623920000005455
1751588700,-8.623920000005455
1751588700,-8.623920000005455
1751588700,-8.623920000005455
1751588700,-8.623920000005455
1751588700,-8.623920000005455
1751588700,-8.623920000005455
1751588700,-8.623920000005455
1751588700,-8.623920000005455
1751588700,-8.623920000005455
1751588700,-8.623920000005455
1751588700,-8.623920000005455
1751588700,-8.623920000005455
1751588700,-8.623920000005455
1751588700,-8.623920000005455
1751588700,-8.623920000005455
1751588700,-8.623920000005455
1751588700,-8.623920000005455
1751588700,-8.623920000005455
1751588700,-8.623920000005455
1751588700,-8.623920000005455
1751588700,-8.623920000005455
1751588700,-8.623920000005455
1751588700,-8.623920000005455
1751588700,-8.623920000005455
1751588700,-8.623920000005455
1751588700,-8.623920000005455
1751588700,-8.623920000005455
1751588700,-8.623920000005455
1751588700,-8.623920000005455
1751588700,-8.623920000005455
1751588700,-8.623920000005455
1751588700,-8.623920000005455
1751588700,-8.623920000005455
1751588700,-8.623920000005455
1751588700,-8.623920000005455
1751588700,-8.623920000005455
1751588700,-8.623920000005455
1751588700,-8.623920000005455
1751588700,-8.623920000005455
1751588700,-8.623920000005455
1751588700,-8.623920000005455
1751588700,-8.623920000005455
1751588700,-8.623920000005455
1751588700,-8.623920000005455
1751588700,-8.623920000005455
1751588700,-8.623920000005455
1751589000,-8.623920000005455
1751589000,-8.623920000005455
1751589000,-8.623920000005455
1751589000,-8.623920000005455
1751589000,-8.623920000005455
1751589000,-8.623920000005455
1751589000,-8.623920000005455
1751589000,-8.623920000005455
1751589000,-8.623920000005455
1751589000,-8.623920000005455
1751589000,-8.623920000005455
1751589000,-8.623920000005455
1751589000,-8.623920000005455
1751589000,-8.623920000005455
1751589000,-8.623920000005455
1751589000,-8.623920000005455
1751589000,-8.623920000005455
1751589000,-8.623920000005455
1751589000,-8.623920000005455
1751589000,-8.623920000005455
1751589000,-8.623920000005455
1751589000,-8.623920000005455
1751589000,-8.623920000005455
